"CaseNo","SegID","MilePost","Month","Day","Time","Weekday","Impact","Weather","SurfCond","Light","Severity","Fire"
"2002034933",1240,164.80,"11","14","1735","4","A4","2","1","4",7,"0"
"2002034969",4070,28.79,"11","06","0632","3","D2","3","2","6",1,"0"
"2002034973",1534,190.82,"11","20","1508","3","A2","1","1","1",7,"0"
"2002035007",13,0.81,"11","16","1306","6","D3","3","2","1",1,"0"
"2002035015",81,7.04,"11","12","1730","2","A1","2","2","4",1,"0"
"2002035046",1188,161.73,"11","07","2300","4","A3","2","1","4",1,"0"
"2002035076",1068,153.16,"11","12","1500","2","A3","3","2","1",1,"0"
"2002035088",2277,5.24,"11","07","1900","4","D3","3","2","4",1,"0"
"2002035091",3887,14.09,"11","12","1051","2","A1","2","2","1",7,"0"
"2002035092",3812,9.72,"11","18","1609","1","D1","3","2","3",7,"0"
"2002035094",1309,169.68,"11","11","1625","1","D2","2","1","1",1,"0"
"2002035099",1357,173.89,"11","03","1015","7","D4","1","1","1",1,"0"
"2002035104",1311,169.79,"11","10","0014","7","A1","3","2","4",7,"0"
"2002035105",1266,166.03,"11","01","1738","5","D4","1","1","3",1,"0"
"2002035106",1285,167.22,"11","03","1728","7","D1","1","1","1",1,"0"
"2002035109",1244,165.17,"11","18","1320","1","D2","3","2","1",7,"0"
"2002035110",1347,172.77,"11","02","1730","6","D3","1","1","4",7,"0"
"2002035112",3844,11.46,"11","12","0658","2","A1","3","2","2",1,"0"
"2002035128",1190,161.84,"11","13","1743","3","A4","3","2","4",1,"0"
"2002035129",1267,166.06,"11","14","1131","4","D1","1","1","1",1,"0"
"2002035131",927,137.81,"11","25","1645","1","D4","1","1","4",1,"0"
"2002035141",3522,279.32,"11","13","1723","3","A2","1","1","4",1,"0"
"2002035142",3733,2.39,"11","11","1225","1","D1","1","1","1",1,"0"
"2002035163",1194,162.01,"11","14","0820","4","A5","2","1","1",0,"0"
"2002035165",1286,167.27,"11","01","1627","5","D2","1","1","1",1,"0"
"2002035173",1362,174.68,"11","16","1345","6","D2","3","2","1",1,"0"
"2002035174",3832,10.66,"11","27","1308","3","A3","1","1","1",1,"0"
"2002035175",1309,169.56,"11","03","1735","7","D1","1","1","4",7,"0"
"2002035176",1227,164.04,"11","03","2208","7","A1","1","1","4",7,"0"
"2002035177",1303,169.16,"11","19","0740","2","D3","1","1","1",7,"0"
"2002035178",1498,187.45,"11","13","1733","3","D3","3","2","6",1,"0"
"2002035190",4032,24.08,"11","14","1717","4","D2","1","1","4",1,"0"
"2002035192",1305,169.24,"11","07","1650","4","D1","3","2","1",1,"0"
"2002035193",1266,166.03,"11","23","1927","6","D1","1","1","5",1,"0"
"2002035200",874,132.89,"11","04","1645","1","D6","1","1","3",1,"0"
"2002035202",917,136.56,"11","04","0039","1","D2","1","1","1",1,"0"
"2002035205",1604,198.63,"11","05","0629","2","D4","3","2","4",6,"0"
"2002035211",1539,192.02,"11","20","1415","3","A4","1","1","1",7,"0"
"2002035221",1454,182.21,"11","16","1325","6","D1","3","1","1",7,"0"
"2002035245",871,132.66,"11","30","1550","6","A2","1","1","1",1,"0"
"2002035256",3812,9.59,"11","12","1312","2","D2","5","2","1",7,"0"
"2002035356",4073,29.20,"11","07","0620","4","D1","1","2","5",1,"0"
"2002035384",3933,17.23,"11","27","1500","3","A3","1","1","1",7,"0"
"2002035392",2912,132.24,"11","10","2200","7","A1","1","1","6",6,"0"
"2002035411",1807,226.56,"11","08","1625","5","A2","3","2","3",7,"0"
"2002035425",1476,184.26,"11","06","1156","3","D1","3","2","1",6,"0"
"2002035426",1322,170.60,"11","01","1810","5","A4","1","1","5",7,"0"
"2002035462",1227,164.06,"11","26","1008","2","A3","1","1","1",1,"0"
"2002035466",1233,164.50,"11","02","1109","6","A3","1","1","1",6,"0"
"2002035467",1362,174.71,"11","19","1739","2","D3","3","2","4",7,"0"
"2002035489",859,131.37,"11","29","1620","5","A4","2","1","3",1,"0"
"2002035498",3590,283.95,"11","07","1730","4","A3","2","1","6",1,"0"
"2002035505",3518,279.09,"11","13","1700","3","A1","1","1","3",6,"0"
"2002035510",3694,0.24,"11","17","1315","7","A2","1","1","1",1,"0"
"2002035524",1354,173.21,"10","19","1855","6","D4","2","1","4",1,"0"
"2002035525",1294,167.87,"10","29","1608","2","A2","2","2","3",1,"0"
"2002035529",877,133.27,"11","15","1736","5","DA","2","1","6",5,"0"
"2002035537",1294,167.88,"10","29","1609","2","A2","2","2","3",1,"0"
"2002035545",1354,173.23,"10","19","1854","6","D4","2","1","4",1,"0"
"2002035561",3929,16.48,"11","04","1715","1","A2","1","1","6",1,"0"
"2002035562",1228,164.14,"11","05","1730","2","A1","2","1","3",1,"0"
"2002035569",4015,23.19,"11","06","1721","3","A3","3","2","4",1,"0"
"2002035595",1602,198.58,"11","03","1740","7","D3","1","1","6",1,"0"
"2002035598",1602,198.58,"11","06","0705","3","D3","3","2","1",7,"0"
"2002035605",1558,192.99,"11","11","2045","1","A1","3","2","6",1,"0"
"2002035609",1440,180.81,"11","27","1550","3","D3","1","1","1",1,"0"
"2002035613",1438,180.76,"11","01","1532","5","D1","1","1","1",1,"0"
"2002035614",1481,185.04,"11","01","1920","5","A4","1","1","5",1,"0"
"2002035632",729,114.15,"11","01","1940","5","A3","1","1","6",1,"0"
"2002035635",788,120.71,"11","15","1707","5","A3","3","2","4",7,"0"
"2002035644",1282,167.00,"11","19","1847","2","A3","3","2","4",7,"0"
"2002035655",3708,0.90,"11","20","1511","3","A2","1","1","1",1,"0"
"2002035656",3792,7.07,"11","21","0938","4","A2","2","1","9",5,"0"
"2002035659",3710,0.96,"11","18","1342","1","A1","3","2","1",7,"0"
"2002035672",813,123.76,"11","01","1755","5","D1","1","1","6",1,"0"
"2002035688",1848,230.10,"11","27","1441","3","D2","1","1","1",1,"0"
"2002035712",2107,259.99,"11","20","0750","3","D2","5","1","1",0,"0"
"2002035716",1153,158.26,"11","05","0750","2","A3","1","1","1",1,"0"
"2002035720",1814,227.18,"11","29","1320","5","A2","1","1","1",1,"0"
"2002035737",1446,181.61,"11","26","1736","2","D3","1","1","6",1,"0"
"2002035742",1428,180.06,"11","27","1556","3","D1","1","1","1",6,"0"
"2002035774",2057,255.21,"11","08","1715","5","D1","3","2","3",1,"0"
"2002035775",2048,254.03,"11","09","1845","6","A2","2","2","4",1,"0"
"2002035784",1070,153.24,"11","02","1200","6","A1","1","1","1",1,"0"
"2002035788",4110,1.19,"11","13","0702","3","D2","2","1","1",1,"0"
"2002035799",2912,130.39,"11","15","2340","5","A1","1","1","6",6,"0"
"2002035804",4168,6.26,"11","12","0845","2","A3","3","2","1",1,"0"
"2002035806",4119,3.10,"11","14","0700","4","D2","2","2","1",1,"0"
"2002035814",1349,172.95,"11","02","1248","6","D4","1","1","1",1,"0"
"2002035816",1396,177.76,"11","04","0730","1","D3","1","1","1",1,"0"
"2002035819",1308,169.42,"11","26","1342","2","D2","1","1","1",1,"0"
"2002035823",1298,168.38,"11","09","1725","6","A2","3","3","4",1,"0"
"2002035824",1093,154.51,"11","08","1631","5","D5","3","2","1",1,"0"
"2002035825",953,141.33,"11","15","1610","5","D3","1","1","1",1,"0"
"2002035826",1147,157.78,"11","20","1806","3","D5","1","1","4",7,"0"
"2002035829",1310,169.70,"11","12","2121","2","D4","3","2","4",1,"0"
"2002035834",4246,9.99,"11","19","1750","2","D1","2","2","5",1,"0"
"2002035854",831,126.34,"11","26","1520","2","A1","1","1","1",1,"0"
"2002035868",808,123.03,"11","27","0830","3","D1","5","1","1",1,"0"
"2002035871",1167,160.59,"11","02","1301","6","A5","1","1","1",7,"0"
"2002035872",678,106.32,"11","06","1740","3","D2","3","2","4",1,"0"
"2002035882",894,134.87,"11","01","1608","5","D3","1","1","3",1,"0"
"2002035883",882,133.64,"11","02","1758","6","A3","1","1","4",7,"0"
"2002035887",1299,168.56,"11","01","1124","5","D2","1","1","1",1,"0"
"2002035888",1322,170.70,"11","04","0837","1","D3","1","1","1",1,"0"
"2002035893",1379,175.93,"11","03","1205","7","D1","1","1","1",7,"0"
"2002035896",813,123.65,"11","01","1530","5","D2","1","1","1",1,"0"
"2002035897",813,123.65,"11","01","1530","5","D3","1","1","1",1,"0"
"2002035901",894,134.76,"11","29","1355","5","A3","2","1","1",1,"0"
"2002035908",1019,149.08,"11","07","0738","4","A5","2","2","1",1,"0"
"2002035909",973,143.91,"11","12","0834","2","A4","3","2","1",6,"0"
"2002035920",876,132.95,"11","20","0613","3","A5","5","1","4",1,"0"
"2002035932",1482,185.96,"11","06","1420","3","D2","3","2","1",1,"0"
"2002035935",1534,191.16,"11","03","1743","7","A3","1","1","6",1,"0"
"2002035937",1421,179.60,"11","26","1455","2","D1","1","1","1",1,"0"
"2002035942",920,136.86,"11","13","1800","3","D1","3","2","6",7,"0"
"2002035944",880,133.39,"11","13","1740","3","A4","3","2","4",1,"0"
"2002035951",820,124.82,"11","21","1803","4","A4","1","1","4",1,"0"
"2002035963",1236,164.63,"11","21","1823","4","A2","1","1","4",1,"0"
"2002035965",2068,256.14,"11","09","1915","6","D2","1","2","4",7,"0"
"2002035978",1000,146.67,"11","13","0620","3","A4","2","2","2",1,"0"
"2002035980",973,143.99,"11","13","1855","3","D2","3","2","4",7,"0"
"2002036064",1464,183.02,"11","04","0710","1","D3","1","1","1",7,"0"
"2002036066",1450,181.85,"11","09","1405","6","D1","2","1","1",1,"0"
"2002036099",522,79.05,"11","13","1650","3","A2","3","2","6",1,"0"
"2002036117",1850,230.22,"11","27","1415","3","D2","1","1","1",1,"0"
"2002036119",1845,229.90,"11","27","1305","3","D2","1","1","1",7,"0"
"2002036134",516,78.57,"11","13","1720","3","A1","3","2","6",1,"0"
"2002036136",393,60.73,"11","18","0635","1","A2","1","1","4",7,"0"
"2002036137",2296,6.21,"11","06","0855","3","D3","3","2","1",1,"0"
"2002036145",835,127.62,"11","03","1538","7","A1","1","1","1",7,"0"
"2002036167",91,8.03,"11","10","0130","7","D1","3","2","4",1,"0"
"2002036171",2409,15.18,"11","03","1245","7","D2","1","1","1",1,"0"
"2002036172",2242,1.40,"11","13","0813","3","D2","2","1","1",7,"0"
"2002036208",788,120.86,"11","15","0015","5","A1","1","1","4",7,"0"
"2002036213",2392,13.37,"11","01","0743","5","D3","1","1","1",1,"0"
"2002036216",829,126.16,"11","01","1540","5","A1","1","1","1",1,"0"
"2002036242",933,138.65,"11","22","1954","5","D1","1","1","4",7,"0"
"2002036244",2235,1.09,"11","22","1700","5","D4","1","1","3",1,"0"
"2002036252",856,130.78,"11","06","0900","3","A1","3","2","2",1,"0"
"2002036254",3812,9.68,"11","04","1510","1","A2","1","1","1",7,"0"
"2002036255",2382,12.13,"11","05","0748","2","D3","2","1","1",1,"0"
"2002036258",975,144.14,"11","12","1205","2","A1","2","2","1",1,"0"
"2002036259",2272,4.77,"11","13","0815","3","D3","1","1","1",1,"0"
"2002036260",2273,4.88,"11","14","0855","4","A2","1","1","1",7,"0"
"2002036262",2347,8.66,"11","07","1505","4","D1","3","2","1",1,"0"
"2002036263",2363,10.16,"11","13","1722","3","A2","2","8","4",1,"0"
"2002036264",2400,14.31,"11","13","1847","3","A2","3","2","4",1,"0"
"2002036269",2398,13.97,"11","01","0817","5","D2","1","1","1",1,"0"
"2002036285",1482,185.96,"11","10","1720","7","D1","2","1","4",7,"0"
"2002036288",1568,193.58,"11","08","1615","5","D1","2","1","1",1,"0"
"2002036303",2348,8.91,"11","12","1045","2","D2","2","2","1",1,"0"
"2002036308",805,122.83,"11","26","1725","2","D3","1","1","3",7,"0"
"2002036313",883,133.76,"11","15","1750","5","A3","3","2","6",7,"0"
"2002036315",1041,150.94,"11","14","0725","4","A1","2","1","1",1,"0"
"2002036341",986,145.60,"11","12","0820","2","A2","3","2","1",7,"0"
"2002036396",1419,179.13,"11","06","1026","3","D4","3","2","1",7,"0"
"2002036430",1832,228.60,"11","17","0430","7","D1","1","1","6",7,"0"
"2002036444",2348,8.93,"11","06","0725","3","D1","3","2","1",1,"0"
"2002036462",1299,168.56,"11","16","1140","6","D3","3","2","1",1,"0"
"2002036463",1231,164.30,"11","26","1155","2","A4","1","1","1",1,"0"
"2002036464",1299,168.41,"11","28","1241","4","D3","1","1","1",1,"0"
"2002036465",1245,165.28,"11","26","1211","2","A3","1","1","1",7,"0"
"2002036467",1303,169.18,"11","12","0236","2","D2","3","2","6",1,"0"
"2002036531",959,142.08,"11","06","2015","3","D1","2","2","4",1,"0"
"2002036546",3750,3.87,"11","09","1906","6","A1","3","2","4",7,"0"
"2002036557",1361,174.56,"11","27","1407","3","A3","1","1","1",7,"0"
"2002036558",1227,164.06,"11","16","1200","6","A4","3","2","1",1,"0"
"2002036563",952,141.16,"11","13","1756","3","D4","2","2","6",7,"0"
"2002036568",4207,7.51,"12","20","1725","5","D1","2","1","4",7,"0"
"2002036572",4096,0.21,"11","06","0804","3","D1","3","2","1",1,"0"
"2002036597",1529,190.17,"11","08","1650","5","A3","2","2","3",7,"0"
"2002036623",820,124.85,"11","18","1650","1","A1","3","2","4",1,"0"
"2002036644",951,140.76,"11","26","1835","2","D4","1","1","4",1,"0"
"2002036658",3750,3.89,"11","09","1905","6","A2","3","2","4",1,"0"
"2002036780",1443,181.26,"11","20","0635","3","D2","1","2","2",1,"0"
"2002036782",1510,188.56,"11","25","1735","1","A3","1","1","6",7,"0"
"2002036808",2040,253.79,"11","08","1705","5","D2","3","2","4",7,"0"
"2002036830",985,144.89,"11","28","1300","4","D4","1","1","1",1,"0"
"2002036853",2658,54.24,"11","28","2300","4","D1","1","1","6",1,"0"
"2002036872",1255,165.66,"11","18","1738","1","D2","3","2","4",1,"0"
"2002036877",1360,174.31,"11","11","1314","1","A4","2","1","1",7,"0"
"2002036878",1219,163.33,"11","16","1238","6","A3","3","2","1",1,"0"
"2002036879",1007,147.16,"11","15","1732","5","D3","1","1","4",1,"0"
"2002036882",2211,0.06,"10","31","1741","4","A2","2","1","3",1,"0"
"2002036883",1246,165.33,"11","13","1821","3","A1","3","2","4",1,"0"
"2002036885",1292,167.74,"11","16","1728","6","A1","2","1","4",1,"0"
"2002036886",1293,167.82,"11","20","1752","3","D1","1","1","4",1,"0"
"2002036892",1301,169.02,"11","14","1754","4","D2","2","1","4",1,"0"
"2002036935",1339,172.06,"11","06","1212","3","D3","3","2","1",7,"0"
"2002036937",1347,172.81,"11","08","1442","5","D5","2","2","1",1,"0"
"2002036938",1170,160.79,"11","12","1012","2","A4","1","2","1",7,"0"
"2002036939",927,137.81,"11","25","1725","1","A4","1","1","4",7,"0"
"2002036941",884,133.86,"11","20","0600","3","A3","5","2","4",1,"0"
"2002036951",591,90.53,"11","17","0850","7","D1","2","2","1",1,"0"
"2002036954",873,132.76,"11","02","1308","6","D2","1","1","1",1,"0"
"2002036955",840,128.32,"11","02","1432","6","D1","1","1","1",1,"0"
"2002036957",1293,167.83,"11","12","0845","2","A1","3","2","1",1,"0"
"2002036964",983,144.75,"11","28","1251","4","D3","1","1","1",1,"0"
"2002036968",694,108.21,"11","17","1310","7","A3","1","1","1",6,"0"
"2002036974",571,87.31,"11","24","2200","7","A1","1","1","6",1,"0"
"2002036978",894,134.92,"11","29","1354","5","A4","1","1","1",7,"0"
"2002036979",880,133.40,"11","07","0630","4","A3","3","2","4",1,"0"
"2002036986",1339,172.20,"11","13","1840","3","D3","3","2","4",1,"0"
"2002036987",1300,168.62,"11","13","2114","3","D4","3","2","4",7,"0"
"2002036988",2265,4.41,"11","08","1806","5","A4","3","2","1",1,"0"
"2002036989",1208,162.80,"11","13","1740","3","A3","3","2","1",1,"0"
"2002036991",1247,165.34,"11","22","0745","5","D3","2","1","1",1,"0"
"2002037002",1281,166.84,"11","06","1011","3","D1","3","2","1",1,"0"
"2002037010",1538,191.67,"11","28","1030","4","A3","1","1","1",1,"0"
"2002037020",1233,164.47,"11","14","0815","4","A3","2","1","1",1,"0"
"2002037025",1269,166.23,"11","20","1938","3","A5","1","1","4",1,"0"
"2002037026",1338,171.95,"11","22","1626","5","A4","1","1","4",7,"0"
"2002037030",1295,168.10,"11","07","1115","4","D4","3","2","1",1,"0"
"2002037031",1301,169.03,"11","14","0721","4","D2","2","1","1",7,"0"
"2002037032",1273,166.41,"11","22","1450","5","D1","1","1","1",7,"0"
"2002037034",2398,13.96,"11","22","0748","5","D2","2","1","1",1,"0"
"2002037048",1538,191.64,"11","27","1233","3","A3","1","1","1",1,"0"
"2002037049",1585,194.50,"11","27","1739","3","D4","1","1","4",7,"0"
"2002037050",1473,183.71,"11","28","1225","4","A4","1","1","1",7,"0"
"2002037055",1498,187.49,"11","07","1851","4","A1","2","2","6",7,"0"
"2002037071",892,134.56,"11","05","1745","2","A4","2","1","4",1,"0"
"2002037079",1303,169.16,"11","06","1000","3","D1","3","2","1",1,"0"
"2002037091",1175,161.17,"11","21","0744","4","A1","1","1","1",1,"0"
"2002037093",969,142.94,"11","24","1728","7","D8","1","1","6",1,"0"
