"Name","Company","OneYrPay","FiveYrPay","Shares","Age"
"Kenneth I Chenault","American Express",10.92,86.57,60.00,60.00
"Kenneth W Lowe","Scripps Networks Interactive",13.36,23.75,22.90,61.00
"Kent J Thiry","DaVita",10.90,111.23,16.20,56.00
"Kevin Burke","Consolidated Edison",9.53,24.80,15.10,61.00
"Kevin S Crutchfield","Alpha Natural Resources",9.73,,5.00,50.00
"Kevin W Sharer","Amgen",9.15,36.72,13.20,64.00
"Lamberto Andreotti","Bristol-Myers Squibb",10.85,28.24,9.10,61.00
"Larry D Young","Dr Pepper Snapple Group",16.51,28.01,9.80,57.00
"Larry J Merlo","CVS Caremark",15.03,,44.00,56.00
"Laurence D Fink","BlackRock",23.38,133.86,269.70,59.00
"Lawrence J Blanford","Green Mountain Coffee Roasters",14.22,20.25,3.20,58.00
"Lawrence J Ellison","Oracle",14.89,903.21,32848.90,67.00
"Leonard Bell","Alexion Pharmaceuticals",12.71,34.52,167.80,53.00
"Leslie Moonves","CBS",41.48,152.89,58.20,63.00
"Lew Frankfort","Coach",33.17,105.18,169.80,66.00
"Lewis Hay III","NextEra Energy",17.52,67.00,45.70,56.00
"Lloyd C Blankfein","Goldman Sachs Group",21.74,159.48,256.30,57.00
"Louis C Camilleri","Philip Morris International",32.75,82.74,143.60,57.00
"Louis R Chenevert","United Technologies",15.33,75.78,33.60,54.00
"Lowell C McAdam","Verizon Communications",9.32,,2.50,58.00
"Marc Holliday","SL Green",14.99,92.10,26.70,45.00
"Mark C Pigott","Paccar",15.11,84.74,163.70,58.00
"Mark Donegan","Precision Castparts",25.62,97.03,39.70,54.00
"Mark G Parker","NIKE",10.83,50.81,31.00,56.00
"Mark P Frissora","Hertz Global Holdings",9.54,39.16,31.20,56.00
"Mel Karmazin","Sirius XM Radio",9.91,34.03,20.20,69.00
"Merrill A Miller Jr","National Oilwell Varco",14.18,39.15,51.50,61.00
"Michael A J Farrell","Annaly Capital Management",23.84,83.68,40.40,60.00
"Michael B McCallister","Humana",14.10,54.33,36.20,59.00
"Michael Balmuth","Ross Stores",20.81,64.95,90.70,61.00
"Michael D Fascitelli","Vornado Realty",64.40,,171.70,55.00
"Michael E Szymanczyk","Altria Group",17.85,33.73,38.70,63.00
"Michael J Kasbar","World Fuel Services",12.72,,44.80,56.00
"Michael J Ward","CSX",19.83,96.78,29.70,61.00
"Michael T Duke","Wal-Mart Stores",23.15,53.93,56.30,61.00
"Michael T Fries","Liberty Global",17.68,58.52,61.70,49.00
"Michael W Sutherlin","Joy Global",15.84,37.24,16.80,65.00
"Miles D White","Abbott Laboratories",17.17,119.79,70.60,57.00
"Mortimer B Zuckerman","Boston Properties",27.05,,157.10,73.00
"Muhtar Kent","Coca-Cola",14.47,40.06,14.70,59.00
"Patricia A Woertz","Archer Daniels Midland",11.50,32.11,23.00,59.00
"Paul E Jacobs","Qualcomm",36.33,89.39,101.40,50.00
"Paul S Otellini","Intel",9.15,43.47,24.20,61.00
"Peter R Huntsman","Huntsman",8.72,33.16,75.30,49.00
"Philippe P Dauman","Viacom",30.89,92.72,48.60,58.00
"Ralph Lauren","Ralph Lauren",66.65,204.06,5010.40,72.00
"Randall L Stephenson","AT&T",26.00,81.29,22.90,52.00
"Rex W Tillerson","ExxonMobil",13.91,54.20,151.30,59.00
"Richard C Adkerson","Freeport-McMoRan Copper & Gold",39.53,183.22,117.50,65.00
"Richard D Kinder","Kinder Morgan",60.94,60.94,8582.30,67.00
"Richard H Anderson","Delta Air Lines",13.17,20.93,17.90,56.00
"Richard K Templeton","Texas Instruments",15.36,36.89,37.00,53.00
"Robert A Iger","Walt Disney",39.83,156.98,48.50,61.00
"Robert E Beauchamp","BMC Software",19.83,86.93,24.00,52.00
"Robert F Moran","Petsmart",11.43,25.17,6.70,61.00
"Robert J Stevens","Lockheed Martin",19.20,127.55,36.30,60.00
"Robert L Parkinson Jr","Baxter International",21.32,56.48,23.40,61.00
"Ronald L Havner Jr","Public Storage",10.45,49.58,4.60,54.00
"Ronald L Sargent","Staples",9.32,70.59,35.30,56.00
"Sandeep Mathrani","General Growth Properties",11.98,,25.20,50.00
"Sanjay K Jha","Motorola Mobility Holdings",14.00,,230.60,49.00
"Sanjay Mehrotra","SanDisk",9.67,,1.20,53.00
"Scott A McGregor","Broadcom",14.00,41.85,17.50,56.00
"Scott C Donnelly","Textron",11.31,18.27,1.90,50.00
"Scott D Sheffield","Pioneer Natural Resources",20.05,51.79,83.00,59.00
"Sheldon G Adelson","Las Vegas Sands",9.56,23.26,19207.00,78.00
"Stephen A Roell","Johnson Controls",14.22,57.80,22.80,62.00
"Stephen A Wynn","Wynn Resorts",14.62,52.67,2492.50,70.00
"Stephen F Angel","Praxair",26.48,70.18,16.20,57.00
"Stephen I Chazen","Occidental Petroleum",34.30,,210.00,65.00
"Stephen J Hemsley","UnitedHealth Group",48.83,169.30,155.80,59.00
"Stephen P Holmes","Wyndham Worldwide Corporation",9.70,30.29,29.10,55.00
"Steve Ells","Chipotle Mexican Grill",21.78,48.54,98.80,46.00
"Steven H Temares","Bed Bath & Beyond",13.30,26.64,33.10,53.00
"Surya N Mohapatra","Quest Diagnostics",12.57,41.60,14.90,62.00
"Terry J Lundgren","Macy's",10.02,46.97,20.00,60.00
"Thomas F Farrell II","Dominion Resources",11.96,70.09,46.50,57.00
"Thomas Georgens","NetApp",17.03,20.92,0.30,52.00
"Thomas J Falk","Kimberly-Clark",10.98,58.62,48.70,54.00
"Timothy D Cook","Apple",14.82,,8.30,51.00
"Timothy E Guertin","Varian Medical Systems",8.76,39.18,7.70,63.00
"Timothy M Manganello","BorgWarner",39.27,83.02,76.70,61.00
"Timothy M Ring","CR Bard",18.59,72.50,26.20,54.00
"Virginia M Rometty","International Business Machines",10.88,,40.50,55.00
"W James McNerney Jr","Boeing",13.36,64.44,33.80,62.00
"Walter W Bettinger II","Charles Schwab",10.02,26.36,7.70,51.00
"Wayne T Smith","Community Health Systems",16.17,54.72,34.60,66.00
"Wesley G Bush","Northrop Grumman",11.70,25.80,13.50,51.00
"William C Rhodes III","AutoZone",13.46,32.86,6.50,46.00
"William H Swanson","Raytheon",17.45,109.29,44.40,63.00
"William P Sullivan","Agilent Technologies",24.84,76.47,17.70,63.00
"William R Berkley","WR Berkley",29.00,219.96,874.00,66.00
"William R Johnson","HJ Heinz",21.61,73.53,65.70,63.00
